,MIN,MAX
U10.58,-10.452170372009276,12.43688678741455
U10.59,-10.205033302307127,12.623074531555176
U10.60,-10.427783966064453,11.781536102294922
U10.61,-10.102971076965332,11.578798294067385
U10.62,-10.452170372009276,12.43688678741455
U10.63,-10.205033302307127,12.623074531555176
U10.64,-10.427783966064453,11.781536102294922
U10.65,-10.102971076965332,11.578798294067385
U10.66,-10.452170372009276,12.43688678741455
U10.67,-10.205033302307127,12.623074531555176
U10.68,-10.427783966064453,11.781536102294922
U10.69,-10.102971076965332,11.578798294067385
U10.70,-10.452170372009276,12.43688678741455
U10.71,-10.205033302307127,12.623074531555176
U10.72,-10.427783966064453,11.781536102294922
U10.73,-10.102971076965332,11.578798294067385
U10.74,-10.452170372009276,12.43688678741455
U10.75,-10.205033302307127,12.623074531555176
U10.76,-10.427783966064453,11.781536102294922
U10.77,-10.102971076965332,11.578798294067385
U10.78,-10.452170372009276,12.43688678741455
U10.79,-10.196582794189453,12.623074531555176
U10.80,-10.427783966064453,11.781536102294922
U10.81,-10.102971076965332,11.578798294067385
U10.82,-10.30433464050293,12.44626522064209
U10.83,-9.857318878173828,12.728313446044922
U10.84,-10.427783966064453,11.781536102294922
U10.85,-9.93223762512207,11.529296875
U10.86,-9.933831214904783,12.44626522064209
U10.87,-9.469660758972168,12.728313446044922
U10.88,-10.427783966064453,11.497496604919435
U10.89,-9.896485328674316,11.529296875
U10.90,-9.735050201416016,12.44626522064209
U10.91,-9.646242141723633,12.728313446044922
U10.92,-10.09976577758789,11.497496604919435
U10.93,-9.54174518585205,11.529296875
U10.94,-9.409090042114258,12.44626522064209
U10.95,-9.646242141723633,12.728313446044922
U10.96,-9.51396369934082,11.497496604919435
U10.97,-9.297403335571287,11.529296875
U10.98,-9.409090042114258,12.44626522064209
U10.99,-9.646242141723633,12.728313446044922
V10,-9.515328407287598,11.825858116149902
V10.1,-9.660719871520996,11.783822059631348
V10.2,-9.76634120941162,11.771514892578125
V10.3,-9.861125946044922,11.807217597961426
V10.4,-8.169229507446289,11.123939514160156
V10.5,-9.083313941955566,10.454334259033203
V10.6,-8.864394187927246,10.945616722106934
V10.7,-8.834306716918945,11.114409446716307
